'liao'jie 了解
'dang'dai'kuai 党代会
'dang'shen 党参
'beng'shan 蚌山
'en'pei'duo'ke'lei 恩培多克勒
'en'shen'yi'zhong 恩深义重
'zuan'qia 钻卡
'ling'cheng 铃铛
'yan'shan 铅山
'te'tiao 特调
'chen'duo 称多
'cheng'zhong 称重
'bi'ji 秘芨
'jie'zhong 借重
'zhi'de'yi'di 值得一提
'nen'mo 恁么
'jun'miao 隽妙
'jun'pin 隽品
'jun'yu 隽语
'kong'tong 倥侗
'ye'gan 射干
'yin'du 殷都
'bo're 般若
'ai'de'hua'zi 爱德华兹
'xiong'zhui 胸椎
'jiao'nian 胶粘
'nao'cu'zhong 脑卒中
'feng'ren'shui'xiang 逢人说项
'liu'du 留都
'e'piao 饿莩
'zhe'li 這裏
'gao'gou'li 高句丽
'gao'li'shen 高丽参
'zhun'que'shuai 准确率
'ji'wu'ru'chou 疾恶如仇
'zi'shen'wang'zhong 资深望重
'ping'ge 瓶盖
'xiao'fei'zhe'xie'kuai 消费者协会
'guo'yang 涡阳
'liu'xie 流血
'jia'shi 家什
'jia'ji'ren'zu 家给人足
'jia'chang'pian'fan 家常便饭
'tan'xiong'lou'ru 袒胸露乳
'tan'xi 袒裼
'pi'shan'dai'he 被山带河
'pi'he'huai'yu 被褐怀玉
'shei'zhi'dao 谁知道
'tiao'xun 调训
'tiao'xie 调协
'tiao'se 调色
'tiao'bo 调拨
'tiao'cha'yan'jiu 调查研究
'tiao'yan'ren'yuan 调研人员
'tiao'shi 调适
'tiao'yin 调音
'tiao'dang 调档
'tiao'jiao 调校
'tiao'suo 调唆
'tiao'zi 调资
'tiao'xue 调谑
'tiao'jiao 调焦
'tiao'she 调摄
'tiao'zui 调嘴
'bao'ke 剥壳
'bao'zhuo 剥啄
'pei'du 陪都
'tong'shi 通什
'tong'du'da'yi 通都大邑
'nan'tan 难弹
'diao'shai 掉色
'jiao'zhang 教长
'jiao'yo'ju 教育局
'shan'bang 掸邦
'tan'zha 探查
'ji'bu'zi 基布兹
'kan'zha 勘查
'lei'sha 勒杀
'lei'bi 勒毙
'lei'bo'zi 勒脖子
'huang'ke'jiang 黄克强
'fei'er'zi 菲尔兹
'sa'ka'shi'wei'li 萨卡什维利
'sa'mou'er 萨缪尔
'fan'bai 梵呗
'fan'cha 梵刹
'jian'jiao 检校
'xue'de 雪地
'xu'kong'zang'pu'sa 虚空藏菩萨
'qiao'zi 雀子
'chang'shou 常熟
'chen'hun'ding'xing 晨昏定省
'ye'ren'xian'pu 野人献曝
'ye'sou'pu'yan 野叟曝言
'you'dan 蚰蜒
'chang're 唱喏
'zhu'liang'xi'chen 铢两悉称
'yin'hui'shai 银灰色
'tou'zhuo'le 偷着乐
'jia'jie 假藉
'de'zhao 得着
'pan'zha 盘查
'xie'wen'ruan'ni 斜纹软呢
'fu'an'suan 脯氨酸
'shang'du 商都
'wang'du 望都
'shuai'you'jiu'zhang 率由旧章
'shuai'ran 率然
'she'li 阇梨
'zhuo'chu 着处
'zhuo'bian 着边
'zhao'di 着地
'zhuo'chuang 着床
'zhuo'jin'er 着劲儿
'zhao'jin 着紧
'zhuo'qi 着棋
'zhao'shu 着数
'gai'zi 盖兹
'nian'tu 粘土
'nian'he 粘合
'nian'mi 粘米
'nian'xing 粘性
'nian'du 粘度
'nian'jiao 粘胶
'nian'jun 粘菌
'nian'zhuo 粘着
'nian'nian 粘粘
'nian'ye 粘液
'nian'zhi 粘滞
'nian'chou 粘稠
'nian'tan 粘痰
'nian'mo 粘膜
'qing'cang'zha'ku 清仓查库
'qing'zha 清查
'hong'hu 鸿鹄
'hun'shou 混熟
'chun'piao 淳朴
'shen'zhong'ken'qing 深中肯綮
'qing'xian'hu'ci 情见乎辞
'tang'huang'mi'li 惝恍迷离
'jing'ji'bu'yi 惊奇不已
'mei'er 谜儿
'yu'li 尉犁
'tan'ya 弹牙
'tan'jiu 弹纠
'tan'hua 弹花
'tan'bo 弹拨
'tan'zhi 弹指
'tan'tu'yu 弹涂鱼
'sui'hang 随行
'lu'ying 绿营
'qin'se'bu'tiao 琴瑟不调
'hu'po'shai 琥珀色
'jing'zhao 靓照
'ti'jue 替角
'ta'shi'gan 塔什干
'di'liu 提溜
'bo'wen'qiang'zhi 博闻强识
'sou'zha 搜查
'sou'zang 搜藏
'zhu'shou 煮熟
'yuan'zang 援藏
'chan'huo 搀和
'jiao'gun 搅混
'kui'qing'duo'li 揆情度理
'sao'zhao'yang'chu 搔着痒处
'si'bin'se 斯宾塞
'sou'xun 蒐寻
'la'xia 落下
'luo'tuo 落魄
'zhao'tian'jiao 朝天椒
'zhao'bu'lv'xi 朝不虑夕
'zhao'bu'mou'xi 朝不谋夕
'zhao'ling'mu'gai 朝令暮改
'zhao'yu 朝雨
'zhao'nan 朝南
'zhao'qian'xi'ti 朝乾夕惕
'zhao'ge 朝歌
'qi'gao'yi'zhao 棋高一着
'tan'tang 覃塘
'fa'jiao 酦酵
'xiong'zhang 雄长
'ya'yue 雅乐
'ya'nuo'shi 雅诺什
'ding'zhi 鼎峙
'ding'cheng'yu'shi 鼎铛玉石
'wei'da'tou'jian 遗大投艰
'ge'jie 蛤蚧
'ge'li 蛤蜊
'ka'shi 喀什
'ka'cha 喀嚓
'hei'nu'yu'tian'lu 黑奴吁天录
'hei'se'ge'wei'na 黑塞哥维那
'suo'na 锁呐
'qian'wei 犍为
'deng'ju 等车
'ao'shi 奥什
'ao'se'ti 奥塞梯
'shu'bai'te 舒伯特
'shi'jia'mu'ni 释迦牟尼
'a'za 腌臜
'lan'jian 阑槛
'shan'gu'er'gu 善贾而沽
'pu'ji'shuai 普及率
'pu'tian'shuai'tu 普天率土
'pu'shi'tu'yu 普什图语
'pu'li'shi'di'na 普里什蒂纳
'pu'zha 普查
'zun'shi'zhong'dao 尊师重道
'dian'du 奠都
'dao'zang 道藏
'zeng'wai'zu'mu 曾外祖母
'zeng'pu 曾朴
'zeng'zai 曾在
'zeng'ji'ze 曾纪泽
'zeng'yin'quan 曾荫权
'zeng'fan'ren 曾繁仁
'han'zhan 寒颤
'shan'wei 禅位
'jiang'zui 强嘴
'fa'she'qi 發射器
'ji'zha 缉查
'bian'wei'kuai 编委会
'xia'yu'hu'xian 瑕瑜互见
'qin'piao 勤朴
'chou'zuo 酬酢
'gan'kai'ji'zhi 感慨系之
'pin'shuo 频数
'bi'ni 睥睨
'yu'meng 愚氓
'an'pu 暗堡
'gen'chai 跟差
'ng'heng 嗯哼
'yun'lian 筠连
'yun'dang 筼筜
'jian'piao 简朴
'hao'zi 貉子
'hao'rong 貉绒
'yao'zhui 腰椎
'bo'yu 鲅鱼
'xie'fa 解法
'xin'du 新都
'liang'hang 粮行
'jian'niu'ba 煎牛扒
'dian'zang 滇藏
'se'er 塞耳
'se'yin 塞音
'se'ge'wei'ya 塞哥维亚
'chu'ren'huo 褚人获
'xian'wu 嫌恶
'shi'si'bu'xiang 誓死不降
'mu'qu'zhao'lai 暮去朝来
'yu'xian 蔚县
'jian'che 槛车
'gao'xiang'huang'xu 槁项黄馘
'bin'zi 槟子
'bin'cheng 槟城
'zhan'ya 辗轧
'zuan'de 赚得
'dan'si'hu'jiang 箪食壶浆
'zhuang'zu 僮族
'xian'bi 鲜卑
'hong'yu 魟鱼
'ta'he 漯河
'cha'ge'tai 察合台
'tun'xia 褪下
'tui'shai 褪色
'sa'du'gai'ren 撒都该人
'heng'she 横折
'zhen'tian'jie'xiang 震天价响
'bao'hu'ping'he 暴虎冯河
'pu'shai 暴晒
'pu'xiao 暴笑
'bao'lou 暴露
'zhao'zha 嘲哳
'ta'zha 踏查
'mo'lu'shai 墨绿色
'hao'jing 镐京
'qi'sang 稽颡
'de'du 德都
'de'le'zi 德勒兹
'mo'di 摩的
'ma'sa 摩挲
'qian'mo 潜没
'bao'ceng 薄层
'bao'ban 薄板
'bao'mian 薄面
'bao'bing 薄饼
'bao'tou'jing 薄透镜
'bao'cui 薄脆
'ju'shai 橘色
'ju'hong'shai 橘红色
'zheng'ju 整车
'huo'er'mu'zi 霍尔木兹
'mu'ling 穆棱
'she'xian 歙县
'diao'lan'yu'qi 雕栏玉砌
'qun'ji 麇集
'wei'mo 濊貊
'bi'shu'sheng'de 避暑胜地
'jie'kou 藉口
'jie'yi 藉以
'jie'you 藉由
'jie'zhe 藉着
'zang'ren 藏人
'zang'min 藏民
'zang'qing 藏青
'zang'bao'tu 藏宝图
'zang'jing'dong 藏经洞
'zang'yao 藏药
'zang'pin 藏品
'zang'yu 藏语
'zang'xiang 藏象
'zang'ling 藏羚
'piao'xiao 螵蛸
'wei'du 魏都
'xi'jing 谿徑
'bei'zhan 臂展
'bian'bi'ru'li 鞭辟入里
'fu'mo 覆没
'bi'huan 璧还
'pu'liao 曝料
'pu'lu 曝露
'zhan'li 颤栗
'lou'feng 露风
'lou'bai 露白
'lou'miao 露苗
'lu'xi 露茜
'lou'xiang 露相
'lou'gu 露骨
'hu'lun'jiao 囫囵觉
'wai'chai 外差
'shen'shi'gui'chai 神使鬼差
'bei'ye 悲咽
'jiao'ai 湫隘
'lao'shi'zi 牢什子
'zha'men 栅门
'piao'yong 骠勇
'shi'wu 什物
'jin'ji'liang 进给量
'jiao'wu'zhang 教务长
'jia'ji'min'zu 家给民足
'zhou'zhang 诪张
'lao'kang 落炕
'tiao'hu 调护
'jian'bu'ke'zhang 渐不可长
'gang'qia 岗卡
'ti'hang 提行
'qiao'qi 跷蹊
'shei'shei 谁谁
'zhang'lian 长脸
'jue'zhao 绝着
'xian'xia 閒暇
'chu'yue 杵乐
'shuai'tu'zhi'bin 率土之滨
'cai'duo 裁度
'hou'sha 后厦
'di'zheng 的证
'an'gu'zhong'qian 安故重迁
'shan'zha 山查
'chuo'chuo 惙惙
'meng'xing 猛省
'zhong'zi 重资
'bi'cong'se'ming 蔽聪塞明
'zan'zi 拶子
'zhao'hui 朝晖
'zhao'mu 朝暮
'fa'xue 发噱
'niao'xie 尿血
'man'tian'yuan'di 埋天怨地
'yi'ri'san'xing 一日三省
'jie'chai 解差
'bei'ta 碑拓
'sai'lu'fen 赛璐玢
'chuan'hong'zhuo'lv 穿红着绿
'ba'ben'se'yuan 拔本塞原
'xiang'biao 降表
'xie'ren 解任
'mu'gu'du'shu 木骨都束
'diao'lan'yu'qi 雕阑玉砌
'dian'zhang 店长
'ha'shi'ma 哈什蚂
'she'cheng 折秤
'shi'shi'que'zuo 事实确凿
'kai'fa'zhou'qi 開發周期
'shuai'er 率尔
'hu'wang 鹄望
'wan'wan 婉娩
'gu'mo 汩没
'yang'ji 仰给
'ba'ben'se'yuan 拔本塞源
'de'zhuan 地砖
'li'fu'ni 礼服呢
'zhou'zhuan 週轉
'che'chai 撤差
'wu'ze'zhui'zhu'yuan 恶则坠诸渊
'zhi'gong'ni 直贡呢
'hu'li 鹄立
'en'zhong'tai'shan 恩重泰山
'si'ma'cheng'zheng 司马承帧
'tu'zhang 徒长
'sha'ren'bu'jian'xie 杀人不见血
'hang'bei 行辈
'xie'hang 颉颃
'zhi'fa'bu'e 执法不阿
'peng'tan 抨弹
'zhao'bu'ji'xi 朝不及夕
'ya'dao'che 轧道车
'hang'zi 行子
'ji'chang'lian'mei 掎裳连袂
'tu'men'da'jue 屠门大嚼
'tang'shai 糖色
'hang'yo 杭育
'qi'zhong 起重
'zhou'xiang 骤降
'qi'ji'jiao 砌基脚
'he'zhong 荷重
'jiu'xing'hu'mian 鸠形鹄面
'zhu'yi 属意
'zha'zhe'dan'zi 奓着胆子
'ao'bu'ke'zhang 敖不可长
'ao'jiang'xia'cu 熬姜呷醋
'yi'yi'duo'ren 以已度人
'zhang'fang 长房
'peng'juan 棚圈
'yu'sai 于思
'pi'luo 吡咯
'du'cha'yuan 都察院
'la'li 癞痢
'bei'hang 辈行
'shai'xiang'wei 色香味
'qiang'bo'zhi'hu 将伯之呼
'zou'lou 走露
'zhi'ze 指谪
'gao'zhao 高着
'tong'guan'zai'bao 恫瘝在抱
'ya'wan 压蔓
'da'hang 大行
'gu'hong'gua'hu 孤鸿寡鹄
'ni'rong 呢绒
'gan'yue 干哕
'lu'hai'bo'jiang 陆海潘江
'di'kuan 的款
'gu'she 瞽阇
'lie'chang'guo'zu 裂裳裹足
'dei'er'ta 得尔塔
'liao'bu'xiang'she 了不相涉
'jing'ji'se'tu 荆棘塞途
'e'yi'qu'rong 阿意取容
'xiao'chai 小差
'zhuo'zhang 茁长
'yan'jing'tan'si 研精覃思
'huang'bo 黄柏
'shei'bian 谁边
'huan'jia 还家
'shen'me 什麼
'an'xian 安閒
'yu'lv 伛偻
'en'you'zhong'bao 恩有重报
'shei'ren 谁人
'di'dang 的当
'kuan'zhi 款识
'fo'tou'zhuo'fen 佛头著粪
'fang'huan 放还
'jiao'dian 校点
'gai'zi 蓋兹
'lian'zhu 联属
'yi'sheng'liang'dan 以升量石
'shuai'jun 率军
'zi'dong'de'gong'zuo 自动地工作
'gu'zhuo 固着
'bai'liao'qian'dang 百了千当
'xi'ka 谿卡
'xian'jie'zhi'ji 纤芥之疾
'luo'hu'xu 捋虎须
'du'shuai 督率
'pi'fa'ying'guan 被发缨冠
'ming'zhu'tan'que 明珠弹雀
'hu'ru'ya'qun 鹘入鸦群
'jiao'yang 校样
'jiao'he 校核
'hang'yang 桁杨
'mu'zhui 木椎
'liang'li'duo'de 量力度德
'san'shi'liu'hang 三十六行
'xing'si 省思
'kui'si 窥伺
'tie'ji 铁骑
'neng'bu'chen'guan 能不称官
'tan'lei 弹泪
'tiao'zhi 调质
'fan'lan 汎濫
'zhao'ji'mu'yan 朝齑暮盐
'wei'bei 骫骳
'hui'tan 回弹
'mo'di 墨翟
'qi'li'ka'cha 嘁哩喀喳
'yuan'pan'ba 圆盘耙
'shu'shuai 疏率
'nian'zhuo'yu 黏着语
'xuan'shen 玄参
'gu'ye'shen'ren 姑射神人
'bi'ming'se'cong 蔽明塞聪
'tong'tuo 通侻
'wu'bei'zi 五棓子
'geng'ye 梗咽
'dui'bu'gong'tang 对薄公堂
'ma'tou 唛头
'pi'fa'zuo'ren 被发左衽
'fu'er'shi'tian 伏而咶天
'zi'jian 仔肩
'zi'ji 仔鸡
'zhou'zhuan'jin 周轉金
'zi'yu 仔鱼
'yu'qi'diao'lan 玉砌雕阑
'mo'chi 没齿
'yi'jian'bao 意见簿
'chen'jia'you'wu 称家有无
'zhong'hao'zhong'wu 众好众恶
'xing'mu 省墓
'su'yue 俗乐
'zheng'zheng 丁丁
'chang'sheng'ji'ri 长绳系日
'guan'zhang 官长
'zuo'si'chou 柞丝绸
'lao'han 落汗
'tan'chi 弹斥
'po'xiao 朴硝
'pi'fa'wen'shen 被发文身
'chen'yi 称意
'xie'hu'hu 血糊糊
'lao'jia 落架
'jing'diao'xi'zuo 精雕细琢
'shen'me 什麽
'ai'hun 瑷珲
'bao'zhuo 抱着
'chang'zhang 场长
'ba'qian'zhi'hou 跋前疐后
'yan'bu'xiang 盐埔乡
'hao'sheng'wu'sha 好生恶杀
'chuang'chuang 幢幢
'luo'zhuo 落着
'mo'mo'wu'wen 没没无闻
'la'dao 落到
'bo'bo 趵趵
'zhu'mao'li'li 属毛离里
'lao'jia 落价
'tan'jian'zuo'ge 弹剑作歌
'xue'zang 雪藏
'e'shi'qu'su 阿时趋俗
'shai'jiu 色酒
'ma'ku'ni 马裤呢
'lao'zi 落子
'tan'yuan'shuo'liu 探源溯流
'rang'rang 瀼瀼
'luo'chai 落差
'han'chen 寒伧
'ji'shui 给水
'lao'ren 落忍
'chi'zhong 吃重
'za'huo'cai 杂和菜
'sui'pao 尿脬
'zhe'me 这麼
'li'zha 篱栅
'che'zhang 车长
'gu'du'guan'gua 孤独矜寡
'yi'dun'gong'xue 伊頓公學
'e'shi'dao'ming 阿世盗名
'zeng'shen'sha'ren 曾参杀人
'gou'zhao'ju'ya 钩爪锯牙
'zhu'huan'he'pu 珠还合浦
'ji'ya 挤轧
'dei'kui 得亏
'xuan'jiu'hu'fu 玄酒瓠脯
'pan'bo 拚搏
'shu'yun'qing'huo 束缊请火
'shi'yi'feng'xian 什一奉献
'qiao'mang'yan 雀盲眼
'ta'sang 嗒丧
'xian'hua 閒话
'ta'ran 嗒然
'yu'mei 愚味
'nian'nian'you'ci 唸唸有词
'jiao'ben 校本
'si'he'zhi'qing 俟河之清
'shuai'ma'yi'ji 率马以骥
'qia'pan 袷袢
'xiang'shun 降顺
'qi'hang 启行
'lao'zhao 捞着
'lao'shai 落色
'wu'shi'huo 武士彟
'jiao'gai 校改
'suo'shi 锁匙
'chou'mou 绸缪
'fu'gu'bo'xi 妇姑勃谿
'wu'tu 於菟
'ai'sheng'wu'si 爱生恶死
'liao'wang 了望
'lu'luo 绿萝
'lai'se 莱塞
'yi'jia'zhi'zhang 一家之长
'yun'tie 熨帖
'zheng'xiu 整宿
'sha'gao 杉篙
'ti'gao'jiao'wu 提高觉悟
'huan'zhang 还帐
'mo'shen'miao 万神庙
'fu'xue 斧削
'bing'cu 病卒
'hong'gan 烘乾
'ming'cha 名刹
'bai'fa'pan'ran 白发皤然
'hui'chang'shang'qi 徊肠伤气
'sou'ji 蒐集
'di'huan 抵还
'ni'zi 呢子
'si'jiao 死校
'tiao'chu 调处
'zhua'chai 抓差
'cai'xie 采血
'zi'zhu 仔猪
'ru'de'chun'tai 如登春台
'jiu'jie 究诘
'zhang'jing'ying 张靓颖
'bu'jie 不价
'zhang'gao 长高
'jiao'hang 脚行
'huang'que'si'chan 黄雀伺蝉
'xia'zhuai 瞎转
'cai'kuai 才会
'jiao'duan'liang'chang 校短量长
'ju'wu 龃龉
'tou'chu'tou'mo 头出头没
'qi'ji'ban'de 奇迹般地
'bian'liao 便了
'hua'hang 画行
'zi'mi 仔密
'jing'chuang 经幢
'xing'dao 省道
'ca'lan'wu 拆烂污
'yao'dian 么点
'kong'lao 空落
'e'dang'bi'zhou 阿党比周
'qiu'ci 龟兹
'yi'zhen'jian'xie 一针见血
'hui'long'jiao 回笼觉
'tai'e'dao'chi 太阿倒持
'jie'fo'zi 杰佛兹
'qie'lan 伽蓝
'tong'xiu 通宿
'kou'zhong 口重
'zhang'ji 长机
'fu'zhi 附识
'hang'dao 行道
'shen'qi 神祇
'chen'qi 衬砌
'shen'wu'tong'jue 深恶痛觉
'hang'yuan 行院
'mo'shi 没世
'ci'e 嵯峨
'yuan'yuan 蜎蜎
'xin'bu'zhen 新埔镇
'zhai'xi 择席
'jiao'chou 校雠
'niu'jin 拗劲
'feng'zhang 疯长
'cai'pan'zhang 裁判长
'bing'qi 屏弃
'liao'shen'da'ming 了身达命
'zhao'yun'mu'yu 朝云暮雨
'bao'sha 抱厦
'shen'xing 深省
'qiang'di'song 强的松
'meng'shi'wei'ke 孟什维克
'qu'ji 取给
'wu'zhi'yu'qi'si 恶之欲其死
'bi'zhong'yan'gan 币重言甘
'cheng'qi 盛器
'zhang'qin 长亲
'zhang'shang 长上
'pu'guang'biao 曝光表
'deng'sha 澄沙
'ri'yue'shen'chen 日月参辰
'zang'xi 藏戏
'gua'fu'dan'hu 寡凫单鹄
'yue'hu 乐户
'bi'se 蔽塞
'geng'se 哽塞
'qi'shi'er'hang 七十二行
'gong'yu'tan'guan 贡禹弹冠
'shi'sheng 史乘
'bu'yan'xiang 埔盐乡
'xie'yuan 解元
'xi'tiao 细调
'can'tou 孱头
'xin'ji 薪给
'he'bing 合並
'mo'nai'he 没奈何
'ting'gua 挺括
'zhao'zhuo 照着
'da'lu'zhui'lun 大辂椎轮
'dong'lin'xi'zhao 东鳞西爪
'chan'yu 襜褕
'deng'cui 等衰
'nian'jie 粘结
'fan'tiao 反调
'nu'tai 驽骀
're'huo 热和
'kao'jiao 考校
'bao'wan'zhai'gua 抱蔓摘瓜
'nan'du 南都
'se'ca'yin 塞擦音
'yi'zhao'bu'shen 一着不慎
'wo'quan'tou'zhao 握拳透爪
'yu'qiu 吁求
'bai'shou'shuai'wu 百兽率舞
'chen'yuan 称愿
'min'mo 泯没
'pi'zhong 皮重
'liao'ruo'zhi'zhang 了若指掌
'ba'dao'heng'heng 霸道横行
'mo'mo 脉脉
'wu'bu'qu'shan 恶不去善
'pei'huan 赔还
'shi'zhuan'xiao'shuo 史传小说
'chen'chen 沈沈
'jie'hong 桔红
'da'zi 沓子
'wai'bu'xiang 外埔乡
'lang'huan 琅嬛
'wei'di 圩堤
'chen'qian 称钱
'yong'zhen'nei'shan 永贞内禅
'wei'zi 圩子
'xie'tiao 谐调
'cai'bu'kuai 才不会
'wei'yuan 圩垸
'zang'hui'xiang'guo 藏茴香果
'juan'xue 朘削
'shang'de 上地
'kuang'zhang 矿长
'da'bai'zi 大伯子
'jiu'hang'ba'ye 九行八业
'mo'qi 万俟
'hua'zhao 花着
'jie'gao 桔槔
'liao'zhang 了帐
'xian'ni 线呢
'wu'zui'qiang'jiu 恶醉强酒
'liao'dang 了当
'e'dang'xiang'wei 阿党相为
'hong'jue 红角
'chuo'da'shang'cui 惙怛伤悴
'liao'wu 了悟
'chen'shen 称身
'liao'bu'ke'jian 了不可见
'bing'tui 屏退
'zhao'si'xi'si 朝斯夕斯
'si'bu'niu'liu 四不拗六
'di'yin'zi 地窨子
'tui'duo 推度
'liao'shou 了手
'ya'chang 轧场
'shi'yong'shuai 使用率
'wei'tian 圩田
'shen'chou'zhong'yuan 深仇重怨
'gu'diao'bu'tan 古调不弹
'chou'gong'ji'xiao 酬功给效
'yi'duo 臆度
'tao'jiao 叨教
'miao'zhao 妙着
'fu'xing 茀星
'zhang'chang 长长
'fan'chai 反差
'tao'guang 叨光
'he'zong'lian'heng 合从连衡
'chou'si'bao'jian 抽丝剥茧
'di'yi'jian 提意见
'mian'chuo 绵惙
'ma'lei 马勒
'shang'shang 汤汤
'guan'jin'yu'shan 纶巾羽扇
'piao'qi 骠骑
'ge'hang 歌行
'tiao'xing 调性
'zhuo'nao 着恼
'fei'chai 肥差
'cha'cha 喳喳
'mei'zi 糜子
'rou'shan'fu'lin 肉山脯林
'ji'mo 籍没
'cheng'shui 盛水
'bi'xue 笔削
'yin'ni 隐慝
'kun'jiao 困觉
'zhao'liang'mu'chen 朝梁暮陈
'san'du 三都
'ya'ou'da'lu'qiao 亚欧大陸桥
'tiao'xiang 调相
'xiao'ran 翛然
'hang'dong 行东
'yi'liao'bai'dang 一了百当
'qi'juan 起圈
'he'pu'zhu'huan 合浦珠还
'yuan'zhang 园长
'ma'da 抹搭
'li'du 丽都
'juan'fei 圈肥
'xi'yue 西乐
'zhong'yue 中乐
'ma'diao 抹掉
'huan'si 环伺
'hu'zhang 户长
'ma'zao 抹澡
'shang'jiao 晌觉
'tui'geng'huan'lin 退耕還林
'zhi'zhang 扺掌
'hang'kuan 行款
'ba'yan'chuo'er'meng 巴彦淖尔盟
'xie'yuan 挟怨
'mu'jiang 木强
'zhang'men 长门
'yue'ju 乐句
'pu'sha'ci'lao 扑杀此獠
'tai'ji'er'pi 泰极而否
'bo'zi'tan 拨子弹
'zhuan'chai 专差
'tiao'cha 调差
'fan'she'ou'zhi'liao 反射区治疗
'bi'gu 辟谷
'lu'fu'er'gong 鲁佛尔宫
'bu'bi'fu'yue 不辟斧钺
'hua'zhao 花朝
'yao'zi 疟子
'ding'xing 虰蛵
'ji'zhi'er'mo 赍志而没
'zhuang'zheng 装帧
'tiao'jing 调经
'deng'jiang'ni 澄浆泥
'yi'zuo 一撮
'shen'shang 参商
'sa'gou'xie 洒狗血
'xian'hun 閒混
'gu'diao'dan'tan 古调单弹
'zeng'zhong 增重
'qi'hang'ju'xia 七行俱下
'chen'bo'jue'li 沈博绝丽
'e'shi'qu'rong 阿世取容
'zheng'tai'chang 帧太长
'gu'gu 呱呱
'xiao'xiao 翛翛
'qie'nan'xiang 伽南香
'qing'huan 清还
'zhong'shen'zi 重身子
'zuo'can 柞蚕
'qing'zi'pi'ti 青紫被体
'mi'hang 米行
'e'shi'mei'su 阿世媚俗
'yi'cha 一刹
'zang'yi 藏医
'ju'liu'liang 车流量
'pan'dou 拚斗
'xiu'wu 羞恶
'tou'mo'bei'an 头没杯案
'sui'zhu'tan'que 隋珠弹雀
'guo'za 裹扎
'bao'zhong 宝重
'yu'shai 玉色
'shen'heng'dou'zhuan 参横斗转
'mo'hou'luo'qie 摩睺罗伽
'lou'tian'mei'kuang 露天煤矿
'qi'xiang 乞降
'zhao'jing'mu'shi 朝经暮史
'wei'geng 圩埂
'cheng'xiu 成宿
'shuai'bing 率兵
'ta'za 塔扎
'zang'pi 臧否
'ji'lei 羁勒
'lao'shi'gu'zi 牢什古子
'sheng'jue 生角
'mo'neng'jiao 万能胶
'li'zhang 里长
'yao'ta 约塔
'zhen'zhan'su 震颤素
'lao'zi 络子
'dan'zhuo'dian 弹着点
'xue'ju 学车
'shi'ju'shan 石咀山
'san'zhao 三朝
'xie'xie'zhe'zhe 蝎蝎螫螫
'gao'chai 高差
'bo'zhu'yun'wei 波属云委
'ao'ya'jie'qu 聱牙诘屈
'fan'wu 烦恶
'qing'xiang 请降
'xing'fu 杏脯
'shen'ji'duo'ren 审己度人
'jia'ma'fu'she 伽马辐射
'shuang'shui 泷水
'ji'ling 奇零
'ai'zhong 爱重
'fo'tou'zhuo'fen 佛头着粪
'wan'sheng 万乘
'ding'chi'ba 钉齿耙
'fan'lao'huan'tong 反老还童
'xie'xian 挟嫌
'diao'xin'yan'zhao 雕心雁爪
'si'hu'tong 死衚衕
'biao'zhi'zhuo 标志着
'fang'zheng'bu'e 方正不阿
'jin'wu'zhu 金兀术
'qing'xian'shi'qu 情见势屈
'dian'dao'yi'chang 颠倒衣裳
'du'ti'tie 镀锡铁
'ren'jian'zhong'wan'qing 人间重晚晴
'chun'sheng'xia'zhang 春生夏长
'pai'chai 派差
'kui'duo 揆度
'tong'wu 痛恶
'ge'ge'ji'shu'qi 盖革计数器
'zhuo'ren'xian'bian 着人先鞭
'zhuo'hua 着花
'yue'sheng 乐声
'yan'hang 雁行
'zheng'shou'ding'jie'fu 帧首定界符
'shen'wu'tong'ji 深恶痛疾
'tun'qu 褪去
'wu'hu 於戏
'mu'xu 牧畜
'zheng'ju'que'zuo 证据确凿
'xing'xing 省省
'rong'zhong 容重
'shen'xue'jia 神學家
'zang'lan 藏蓝
'kai'ti'jun'zi 岂弟君子
'sha'shen 沙参
'bing'sheng'xi'qi 屏声息气
'wu'hu 於乎
'po'tang 陂塘
'hai'jun'ni 海军呢
'jiu'dan'rang 久石让
'xi'xi 恓恓
'xi'huang 恓惶
'zhu'wang 属望
'zan'tan 贊歎
'shou'mo 收没
'yue'chi 乐池
'lin'liao 临了
'tie'zhui 铁椎
'qi'ce 攲侧
'zhao'hua'xi'xiu 朝华夕秀
'yue'duan 乐段
'yue'ge 乐歌
'da'fu'gu 大腹贾
'fa'er'ka'shi 法尔卡什
'a'ka'di 阿卡提
'ga'zhi'wo 夹肢窝
'shen'shu 参薯
'kui'duo 窥度
'da'shuai 大率
'du'tong 都统
'shi'ju'long'xian 尸居龙见
'ta'shi'ku'er'gan 塔什库尔干
'zhai'bu'kai 择不开
'tan'zhang 探长
'lan'feng'zhang'yu 阑风长雨
'han'er'bu'lou 含而不露
'huo'jiao 活校
'geng'shi 羹匙
'kua'rong'xiu'tai 姱容修态
'cen'cuo 参错
'yao'wei'ke 约维克
'de'zhi'bu 地址簿
'ge'lao 仡佬
'chui'tan 吹弹
'pu'sai'long'men 暴腮龙门
'zuo'shu 柞树
'xu'zhuan 续传
'si'xi 肄习
'ri'xue'yue'ge 日削月割
'huan'hui 还回
'du'an 都安
'zhong'ji'guan'qiang 重机关枪
'ne'jia 哪家
'shai'kuai 色块
'ga'ga 轧轧
'mo'ren'guan 没人管
'zhong'zhuang 重装
'du'wei 都尉
